word_id,word,selection_group,orthographic_neighbor_id,orthographic_neighbor,orthographic_similarity,pretrained__direct_visuality_standard,pretrained__cross_background_prototype_top1,pretrained__context_interaction_rms,pretrained__portable_word_delta_norm,pretrained__interaction_to_word_ratio,pretrained__readable__plain_raw__mrr,pretrained__readable__text_that_says__mrr,pretrained__text_that_says__glyph_margin_pseudo,pretrained__text_that_says__glyph_margin_mirrored,pretrained__visual_to_text_delta_cos__pretrained,pretrained__visual_to_text_delta_cos__gmp,pretrained__visual_to_text_delta_cos__reword,pretrained__visual_to_text_delta_cos__sae,pretrained__visual_to_text_delta_cos__chimera_gmp_sae_l0.7_n0.57,gmp__direct_visuality_standard,gmp__cross_background_prototype_top1,gmp__context_interaction_rms,gmp__portable_word_delta_norm,gmp__interaction_to_word_ratio,gmp__readable__plain_raw__mrr,gmp__readable__text_that_says__mrr,gmp__text_that_says__glyph_margin_pseudo,gmp__text_that_says__glyph_margin_mirrored,gmp__visual_to_text_delta_cos__pretrained,gmp__visual_to_text_delta_cos__gmp,gmp__visual_to_text_delta_cos__reword,gmp__visual_to_text_delta_cos__sae,gmp__visual_to_text_delta_cos__chimera_gmp_sae_l0.7_n0.57,reword__direct_visuality_standard,reword__cross_background_prototype_top1,reword__context_interaction_rms,reword__portable_word_delta_norm,reword__interaction_to_word_ratio,reword__readable__plain_raw__mrr,reword__readable__text_that_says__mrr,reword__text_that_says__glyph_margin_pseudo,reword__text_that_says__glyph_margin_mirrored,reword__visual_to_text_delta_cos__pretrained,reword__visual_to_text_delta_cos__gmp,reword__visual_to_text_delta_cos__reword,reword__visual_to_text_delta_cos__sae,reword__visual_to_text_delta_cos__chimera_gmp_sae_l0.7_n0.57,sae__direct_visuality_standard,sae__cross_background_prototype_top1,sae__context_interaction_rms,sae__portable_word_delta_norm,sae__interaction_to_word_ratio,sae__readable__plain_raw__mrr,sae__readable__text_that_says__mrr,sae__text_that_says__glyph_margin_pseudo,sae__text_that_says__glyph_margin_mirrored,sae__visual_to_text_delta_cos__pretrained,sae__visual_to_text_delta_cos__gmp,sae__visual_to_text_delta_cos__reword,sae__visual_to_text_delta_cos__sae,sae__visual_to_text_delta_cos__chimera_gmp_sae_l0.7_n0.57,global_text_maturity,text_lineage_stability,pretrained__bpe_token_count,gmp__bpe_token_count,reword__bpe_token_count,sae__bpe_token_count,persistent_direct_visuality,shortcut_sensitive_signature,sae_survival_signature,overlay_priority_score,is_english,english_zipf,normalized_surface,language_class,is_mature,maturity_class,readability_score,readability_class,selected_for_overlay,overlay_stratum,selection_order,nearest_selected_cos
0,colorimagemicroscope,high_maturity,93,colormicroscope,0.85714287,-0.7982017450368704,1.0,0.011085619,0.61288667,0.018087551,0.4779860003544214,0.701388888888889,0.111054435,0.10059443,0.103878476,0.060695123,0.010285849,-0.087806866,-0.09639348,-1.238682232463489,1.0,0.0094742,0.65372604,0.014492615,0.3368155429236733,0.4660069951421203,0.16576572,0.12817423,0.07336959,0.08183923,0.07463242,-0.046397593,-0.05783,-0.2673696898924195,1.0,0.011575797,0.6689148,0.017305339,0.0518350524342605,0.265360236070999,0.15517409,0.12003889,-0.02804582,-0.027428113,0.02504305,-0.11029905,-0.096089706,-0.5693141740338031,1.0,0.0050831535,0.21423207,0.023727322,0.0010949959181693,0.0019661267549242,0.007505449,0.015330672,0.009468084,0.02707699,0.025335856,0.015256248,0.010077324,2.7482889,0.92527324,3,3,3,3,-0.7183919603566455,-0.9713125425710696,-0.3019444841413836,2.935291371949927,False,0.0,colorimagemicroscope,CLIPese,True,mature,0.21830000000000002,weak,False,,-1,
1,chihuahuhooded,high_maturity,41,chihuahucolorized,0.7741935,0.1483568770261352,1.0,0.011170389,0.6730263,0.016597254,0.8314971601320845,0.9151561303638605,0.120484814,0.11483002,0.108831994,0.07757704,0.017491668,-0.038870975,-0.0482079,-0.4658314317898612,1.0,0.0093947705,0.68701714,0.013674725,0.7417147547911764,0.7975904297968262,0.13902302,0.13346536,0.086341895,0.12806676,0.10263055,-0.008790872,-0.0142399715,-0.2497640653004521,1.0,0.01149079,0.6339735,0.018125033,0.1665339988874612,0.5678634369744674,0.1263825,0.110840306,0.025377888,0.062183738,0.09723293,-0.03488272,-0.026515223,-0.6932845503048797,1.0,0.005500218,0.21945602,0.025062962,0.0010065677018913,0.0020197072895778,0.0026999272,0.012318842,0.06881622,0.114056006,0.1175019,0.08539134,0.06748478,2.684729275,0.94208974,2,2,2,2,-0.3151307925922644,-0.2160673664894091,-0.4435204850044276,3.27317924136108,False,0.0,chihuahuhooded,CLIPese,True,mature,0.34255,weak,False,,-1,
2,chihuahunvidia,high_maturity,24,chihuahua,0.7826087,0.1289631673646005,1.0,0.0104226675,0.6518429,0.01598954,0.8217287414328295,0.8798766959120481,0.117645,0.1299891,0.080232404,0.033884287,-0.059141126,0.032146968,0.00067886454,0.3829806156536876,1.0,0.008781334,0.6495181,0.01351977,0.8557237891379166,0.9184552056370436,0.18228991,0.17892858,0.058706224,0.041194532,0.008140399,0.03640179,0.016040342,0.2542534743925999,1.0,0.010610694,0.5908096,0.017959584,0.2899249058923251,0.7230583531409877,0.1628534,0.14817484,-0.01484355,-0.018712569,0.023321046,0.01482524,-0.013287668,0.0971322929090788,1.0,0.0048368303,0.2794002,0.017311478,0.0012111730303975,0.0053694194432784,0.031793926,0.026024435,0.12307987,0.14018379,0.106015295,0.19645196,0.16498081,2.659590325,0.93112904,5,5,5,5,0.2158323875799916,0.1287271412610877,-0.157121181483521,3.430052367280728,False,0.0,chihuahunvidia,CLIPese,True,mature,0.569525,middle,False,,-1,
3,binochihuahu,high_maturity,4,chihuahu,0.8,0.7170842379160811,1.0,0.012864696,0.7878372,0.01632913,0.8774522189983385,0.903120978120978,0.1876987,0.122469045,0.023049498,-0.04480614,-0.14726603,-0.13585594,-0.15445088,0.3307303939298198,1.0,0.010550447,0.74509645,0.0141598405,0.8523188706727494,0.8722411591178904,0.23075944,0.14486675,-0.039768472,-0.02490712,-0.07260167,-0.12891954,-0.12137382,-0.2331236831453205,1.0,0.0113541335,0.61080015,0.01858895,0.0667813564880764,0.1883661064215573,0.17508136,0.116924785,-0.118417956,-0.06965182,-0.05755351,-0.11557885,-0.12439538,-0.3409117958585861,1.0,0.003145258,0.14562565,0.02159824,0.0010833600599037,0.0027011347910924,0.022531817,0.014758232,0.029516801,0.09541214,0.058561347,0.06356165,0.030090112,2.63385545,0.9399999,3,3,3,3,0.1184447882104985,0.5638540770751403,-0.1077881127132656,3.4175121201294765,False,0.0,binochihuahu,CLIPese,True,mature,0.65185,strong,False,,-1,
4,chihuahu,high_maturity,24,chihuahua,0.9411765,-1.226346841714271,1.0,0.012276126,0.7207207,0.017033124,0.3616228070175438,0.4274749373433583,0.15590076,0.12059908,0.0761259,-0.029323086,-0.103990644,-0.022853862,-0.026448838,-0.3696239326233024,1.0,0.00897793,0.7228414,0.012420332,0.6716944801026957,0.5550751879699246,0.22265314,0.17824997,0.015110839,-0.046220858,-0.061005037,-0.037507597,-0.03528218,0.3167417924993512,1.0,0.010235692,0.63593733,0.016095443,0.1582856363190168,0.340697234903529,0.20780207,0.16722208,-0.09519374,-0.12493567,-0.050785065,-0.08570033,-0.10697046,-0.1718258990496449,1.0,0.00412456,0.18981099,0.021729827,0.0011213091695967,0.0024425864135151,0.018329537,0.027248934,0.0068365745,0.015096501,0.0070551094,0.06998988,0.013027208,2.5738932,0.9387414,2,2,2,2,-0.3627637202219668,-0.6863657251226536,-0.4885676915489961,2.9332695343477826,False,0.0,chihuahu,CLIPese,True,mature,0.49107500000000004,middle,False,,-1,
5,chihuahuframed,high_maturity,24,chihuahua,0.7826087,0.9140494422367332,1.0,0.010893293,0.6809678,0.01599678,0.8562483081741122,0.9283580441575272,0.16405356,0.1582241,0.0574743,0.011917926,-0.0344565,-0.11461056,-0.11391275,0.6329507464633266,1.0,0.009134564,0.689323,0.013251499,0.8498724470963241,0.9216103040406448,0.21132901,0.19132107,0.034118753,0.022190083,-0.0007205568,-0.072586894,-0.07604883,0.6060236474213962,1.0,0.011061178,0.62898225,0.017585834,0.4022269274121218,0.7578655385566446,0.20213667,0.17030986,-0.009156639,-0.04256084,0.006277943,-0.056666456,-0.0575149,-0.786155179996777,1.0,0.004233941,0.24145707,0.017534964,0.0009556208521855,0.0024803541708964,0.0024441297,0.006802364,0.021572601,0.056074478,0.06840421,0.15155196,0.14366238,2.567958125,0.9276245,2,2,2,2,0.3417171640311697,0.0269270990419303,-1.3921788274181732,3.2511030340617046,False,0.0,chihuahuframed,CLIPese,True,mature,0.6575249999999999,strong,False,,-1,
6,bharatmicroscopy,high_maturity,45,brainmicroscopy,0.83870965,1.2773979907649164,1.0,0.011734731,0.7668571,0.015302369,0.9409934720522236,0.9620743034055728,0.18243821,0.16957822,0.1237282,0.03434236,0.06436777,-0.03136453,-0.01026279,0.4219637552996861,1.0,0.010023801,0.7587386,0.013211139,0.8475765462607567,0.8707087779933707,0.19906828,0.19076675,0.06968575,0.041752588,0.09564016,-0.013451653,-0.010809946,0.1850414035777059,1.0,0.010974525,0.66101384,0.016602565,0.4662513922279117,0.5982660142341806,0.15969908,0.1555016,-0.015035145,-2.1493062e-05,0.06295562,-0.0691677,-0.048333544,-0.1715180061416766,1.0,0.004196002,0.22826743,0.018381957,0.0027796870488255,0.0016272308237317,0.021664634,0.02623935,0.079318844,0.07909842,0.113386914,0.08013641,0.066453665,2.549319425,0.93213993,2,2,2,2,0.428221285875158,0.2369223517219802,-0.3565594097193825,3.32337569544129,False,0.0,bharatmicroscopy,CLIPese,True,mature,0.6784,strong,False,,-1,
7,alfremicroscopy,high_maturity,17,amermicroscopy,0.82758623,0.6129835157446069,1.0,0.012317505,0.7266612,0.016950822,0.9049944713248396,0.912630778323824,0.16032329,0.13259831,0.06907994,0.06779796,0.0028551389,-0.050582986,-0.06754502,0.0934019139218761,1.0,0.010297575,0.70891196,0.014525888,0.810245839145069,0.8446903864021424,0.19104561,0.15560456,0.027658183,0.046247736,0.07825293,-0.081743754,-0.0717108,0.0736929847208067,1.0,0.0118879145,0.6655587,0.017861556,0.3820021874183328,0.7488608535698701,0.14895456,0.124366134,0.028318197,0.07180806,0.12309155,-0.028273981,-0.024637323,0.3872502802236102,1.0,0.005835881,0.29611897,0.019707892,0.0033026121676566,0.008375894023638,0.04269148,0.027688287,0.10222837,0.104118735,0.116760984,0.087145194,0.08081435,2.52379475,0.92162085,2,2,2,2,0.2918321736527249,0.0197089292010694,0.3135572955028035,3.034461906547392,False,0.0,alfremicroscopy,CLIPese,True,mature,0.53045,middle,True,orthographic_hard,36,0.773627519607544
8,chihuahuas,high_maturity,24,chihuahua,0.94736844,-2.3498972017835933,1.0,0.01004583,0.7231183,0.013892374,0.7234465763069882,0.1981390977443609,0.13216844,0.10564646,0.103994325,0.12984847,-0.077441745,-0.010432193,-0.02284924,-1.7298812507262442,1.0,0.008411035,0.7607009,0.011056954,0.1662522784233311,0.153468229397022,0.18532057,0.16784339,0.10894344,0.17538911,-0.035905644,0.007082356,0.0011707549,0.1503954552211507,1.0,0.010009473,0.6728596,0.01487602,0.1083999143642309,0.2025737756743267,0.18891147,0.17394154,0.0735686,0.09247606,0.012920644,-0.009935801,-0.020382697,-0.3579051467135459,1.0,0.0037734914,0.21955223,0.017187215,0.0009177870863011,0.0020403510505519,0.020843081,0.01632038,0.104433015,0.15006061,0.0692841,0.13994063,0.12560204,2.5070588000000003,0.9298842,2,2,2,2,-1.071822036000558,-1.8802767059473948,-0.5083006019346966,2.1806071079933416,True,2.39,chihuahuas,English,True,mature,0.389225,middle,False,,-1,
9,buscchihuahua,high_maturity,25,abaschihuahua,0.84615386,0.2461158714125905,1.0,0.011921287,0.73581034,0.016201574,0.856688030699808,0.8537554871135149,0.13782443,0.13530084,0.11328679,0.09375139,-0.015451517,0.0052257134,-0.00029551098,0.3082354935182505,1.0,0.009425117,0.7389006,0.012755595,0.8541643743505103,0.90363008585293,0.17949872,0.1758249,0.120957635,0.14398098,0.061096467,0.05430181,0.054152206,0.4283007503940158,1.0,0.010707444,0.63822937,0.016776795,0.5632149592626404,0.7534294443151617,0.17511633,0.16462426,0.03691133,0.067636654,0.0846305,0.009446773,0.0052949963,0.2722056761472023,1.0,0.0050883857,0.22591868,0.022523085,0.001301641675518,0.0038967117164333,0.03548569,0.035111528,0.10479316,0.12553863,0.090965316,0.08017972,0.07552182,2.50278285,0.9363664,2,2,2,2,0.3137144478680148,-0.1200652568757652,-0.1560950742468134,3.1896272387400524,False,0.0,buscchihuahua,CLIPese,True,mature,0.65285,strong,False,,-1,
