word_id,word,selection_group,is_english,language_class,english_zipf,is_mature,maturity_class,readability_score,selected_for_overlay,overlay_stratum,selection_order,pc1,pc2,pc1_explained_variance,pc2_explained_variance
0,colorimagemicroscope,high_maturity,False,CLIPese,0.0,True,mature,0.21830000000000002,False,,-1,0.072777964,-0.081010744,0.06674889475107193,0.033094968646764755
1,chihuahuhooded,high_maturity,False,CLIPese,0.0,True,mature,0.34255,False,,-1,0.3071091,0.17722575,0.06674889475107193,0.033094968646764755
2,chihuahunvidia,high_maturity,False,CLIPese,0.0,True,mature,0.569525,False,,-1,0.18483074,0.19425148,0.06674889475107193,0.033094968646764755
3,binochihuahu,high_maturity,False,CLIPese,0.0,True,mature,0.65185,False,,-1,0.30520153,0.18715933,0.06674889475107193,0.033094968646764755
4,chihuahu,high_maturity,False,CLIPese,0.0,True,mature,0.49107500000000004,False,,-1,0.17911701,0.20484385,0.06674889475107193,0.033094968646764755
5,chihuahuframed,high_maturity,False,CLIPese,0.0,True,mature,0.6575249999999999,False,,-1,0.28138906,0.13737485,0.06674889475107193,0.033094968646764755
6,bharatmicroscopy,high_maturity,False,CLIPese,0.0,True,mature,0.6784,False,,-1,-0.019966327,-0.06505095,0.06674889475107193,0.033094968646764755
7,alfremicroscopy,high_maturity,False,CLIPese,0.0,True,mature,0.53045,True,orthographic_hard,36,0.049674183,-0.07957647,0.06674889475107193,0.033094968646764755
8,chihuahuas,high_maturity,True,English,2.39,True,mature,0.389225,False,,-1,0.12369289,0.17902161,0.06674889475107193,0.033094968646764755
9,buscchihuahua,high_maturity,False,CLIPese,0.0,True,mature,0.65285,False,,-1,0.28288487,0.24648295,0.06674889475107193,0.033094968646764755
10,anarchisemicsymbol,high_maturity,False,CLIPese,0.0,True,mature,0.58435,False,,-1,0.038522482,-0.0594597,0.06674889475107193,0.033094968646764755
11,chihuahuportrait,high_maturity,False,CLIPese,0.0,True,mature,0.32735000000000003,False,,-1,0.2118319,0.09748415,0.06674889475107193,0.033094968646764755
12,anarchideadpool,high_maturity,False,CLIPese,0.0,True,mature,0.6019749999999999,False,,-1,0.06124651,0.020684985,0.06674889475107193,0.033094968646764755
13,autismasolardepicted,high_maturity,False,CLIPese,0.0,True,mature,0.33494999999999997,False,,-1,0.14660138,-0.12316832,0.06674889475107193,0.033094968646764755
14,balochihuahua,high_maturity,False,CLIPese,0.0,True,mature,0.3169,False,,-1,0.26533294,0.17338651,0.06674889475107193,0.033094968646764755
15,chihuahuyogurt,high_maturity,False,CLIPese,0.0,True,mature,0.671225,False,,-1,0.3327938,0.22499467,0.06674889475107193,0.033094968646764755
16,cubempy,high_maturity,False,CLIPese,0.0,True,mature,0.598,False,,-1,-0.009949871,-0.07985334,0.06674889475107193,0.033094968646764755
17,amermicroscopy,high_maturity,False,CLIPese,0.0,True,mature,0.697725,True,orthographic_hard,37,-0.0780467,-0.09840427,0.06674889475107193,0.033094968646764755
18,chukchihuahua,high_maturity,False,CLIPese,0.0,True,mature,0.599325,False,,-1,0.18067707,0.14602388,0.06674889475107193,0.033094968646764755
19,anarchidrawing,high_maturity,False,CLIPese,0.0,True,mature,0.7293749999999999,True,orthographic_hard,6,0.02611896,-0.057560265,0.06674889475107193,0.033094968646764755
20,cybermicroscopy,high_maturity,False,CLIPese,0.0,True,mature,0.291375,False,,-1,-0.04870201,-0.158681,0.06674889475107193,0.033094968646764755
21,bernadetransimicroscopy,high_maturity,False,CLIPese,0.0,True,mature,0.39724999999999994,False,,-1,0.10557309,-0.11841814,0.06674889475107193,0.033094968646764755
22,anarchidrawings,high_maturity,False,CLIPese,0.0,True,mature,0.5539499999999999,True,orthographic_hard,7,0.08141862,-0.023803635,0.06674889475107193,0.033094968646764755
23,cartoonfortniteemojis,high_maturity,False,CLIPese,0.0,True,mature,0.39827499999999993,False,,-1,0.080618106,-0.026612515,0.06674889475107193,0.033094968646764755
24,chihuahua,high_maturity,True,English,3.21,True,mature,0.369475,False,,-1,0.10321389,0.16561316,0.06674889475107193,0.033094968646764755
25,abaschihuahua,high_maturity,False,CLIPese,0.0,True,mature,0.627275,False,,-1,0.36820254,0.2268621,0.06674889475107193,0.033094968646764755
26,augmentejaws,high_maturity,False,CLIPese,0.0,True,mature,0.3913,False,,-1,0.07946049,0.014669912,0.06674889475107193,0.033094968646764755
27,cubecube,high_maturity,False,CLIPese,0.0,True,mature,0.550625,False,,-1,-0.14367774,-0.08916393,0.06674889475107193,0.033094968646764755
28,accentmicroscopy,high_maturity,False,CLIPese,0.0,True,mature,0.347375,False,,-1,-0.058334623,-0.1195282,0.06674889475107193,0.033094968646764755
29,backstreetspaghetti,high_maturity,False,CLIPese,0.0,True,mature,0.5650499999999999,False,,-1,-0.025591765,-0.016706072,0.06674889475107193,0.033094968646764755
30,clintonhallucinpixelart,high_maturity,False,CLIPese,0.0,True,mature,0.1217,False,,-1,0.28573847,-0.14951886,0.06674889475107193,0.033094968646764755
31,cytoscrambled,high_maturity,False,CLIPese,0.0,True,mature,0.64025,False,,-1,-0.011864109,-0.16131736,0.06674889475107193,0.033094968646764755
32,daimscrambled,high_maturity,False,CLIPese,0.0,True,mature,0.7094250000000001,False,,-1,0.082610294,-0.20970158,0.06674889475107193,0.033094968646764755
33,catpixelart,high_maturity,False,CLIPese,0.0,True,mature,0.11347499999999999,False,,-1,0.18626715,-0.035394873,0.06674889475107193,0.033094968646764755
34,chipmunfracking,high_maturity,False,CLIPese,0.0,True,mature,0.183825,False,,-1,-0.044864714,0.1623689,0.06674889475107193,0.033094968646764755
35,augmenteshark,high_maturity,False,CLIPese,0.0,True,mature,0.533525,False,,-1,0.113214575,0.0056021214,0.06674889475107193,0.033094968646764755
36,chipmunnursing,high_maturity,False,CLIPese,0.0,True,mature,0.16620000000000001,False,,-1,0.007944891,0.18928105,0.06674889475107193,0.033094968646764755
37,anarchialvin,high_maturity,False,CLIPese,0.0,True,mature,0.616825,False,,-1,0.13907993,0.12234081,0.06674889475107193,0.033094968646764755
38,choriliquimicroscopy,high_maturity,False,CLIPese,0.0,True,mature,0.23345000000000002,False,,-1,-0.11752368,-0.10892307,0.06674889475107193,0.033094968646764755
39,bananbananheadphone,high_maturity,False,CLIPese,0.0,True,mature,0.64635,False,,-1,-0.034580227,0.058964483,0.06674889475107193,0.033094968646764755
40,calibrhumidivolcano,high_maturity,False,CLIPese,0.0,True,mature,0.34359999999999996,False,,-1,0.16794899,0.07973364,0.06674889475107193,0.033094968646764755
