word_id,word,selection_group,is_english,language_class,english_zipf,is_mature,maturity_class,readability_score,selected_for_overlay,overlay_stratum,selection_order,pc1,pc2,pc1_explained_variance,pc2_explained_variance
0,colorimagemicroscope,high_maturity,False,CLIPese,0.0,True,mature,0.21830000000000002,False,,-1,0.27079466,0.06904705,0.10447252541780472,0.03583058342337608
1,chihuahuhooded,high_maturity,False,CLIPese,0.0,True,mature,0.34255,False,,-1,0.3106264,-0.16004136,0.10447252541780472,0.03583058342337608
2,chihuahunvidia,high_maturity,False,CLIPese,0.0,True,mature,0.569525,False,,-1,0.23520762,-0.22378224,0.10447252541780472,0.03583058342337608
3,binochihuahu,high_maturity,False,CLIPese,0.0,True,mature,0.65185,False,,-1,0.22844042,-0.1990838,0.10447252541780472,0.03583058342337608
4,chihuahu,high_maturity,False,CLIPese,0.0,True,mature,0.49107500000000004,False,,-1,0.24911794,-0.21927693,0.10447252541780472,0.03583058342337608
5,chihuahuframed,high_maturity,False,CLIPese,0.0,True,mature,0.6575249999999999,False,,-1,0.30896002,-0.16417369,0.10447252541780472,0.03583058342337608
6,bharatmicroscopy,high_maturity,False,CLIPese,0.0,True,mature,0.6784,False,,-1,0.08056734,0.11648147,0.10447252541780472,0.03583058342337608
7,alfremicroscopy,high_maturity,False,CLIPese,0.0,True,mature,0.53045,True,orthographic_hard,36,0.10337416,0.14779785,0.10447252541780472,0.03583058342337608
8,chihuahuas,high_maturity,True,English,2.39,True,mature,0.389225,False,,-1,0.23125319,-0.24508202,0.10447252541780472,0.03583058342337608
9,buscchihuahua,high_maturity,False,CLIPese,0.0,True,mature,0.65285,False,,-1,0.19452009,-0.23300324,0.10447252541780472,0.03583058342337608
10,anarchisemicsymbol,high_maturity,False,CLIPese,0.0,True,mature,0.58435,False,,-1,0.02361429,0.033159204,0.10447252541780472,0.03583058342337608
11,chihuahuportrait,high_maturity,False,CLIPese,0.0,True,mature,0.32735000000000003,False,,-1,0.28243896,-0.16408336,0.10447252541780472,0.03583058342337608
12,anarchideadpool,high_maturity,False,CLIPese,0.0,True,mature,0.6019749999999999,False,,-1,0.043152418,-0.07495862,0.10447252541780472,0.03583058342337608
13,autismasolardepicted,high_maturity,False,CLIPese,0.0,True,mature,0.33494999999999997,False,,-1,0.11538988,0.15355867,0.10447252541780472,0.03583058342337608
14,balochihuahua,high_maturity,False,CLIPese,0.0,True,mature,0.3169,False,,-1,0.22963607,-0.23154381,0.10447252541780472,0.03583058342337608
15,chihuahuyogurt,high_maturity,False,CLIPese,0.0,True,mature,0.671225,False,,-1,0.26360247,-0.22806403,0.10447252541780472,0.03583058342337608
16,cubempy,high_maturity,False,CLIPese,0.0,True,mature,0.598,False,,-1,0.00024631998,0.10043713,0.10447252541780472,0.03583058342337608
17,amermicroscopy,high_maturity,False,CLIPese,0.0,True,mature,0.697725,True,orthographic_hard,37,0.004694113,0.19270523,0.10447252541780472,0.03583058342337608
18,chukchihuahua,high_maturity,False,CLIPese,0.0,True,mature,0.599325,False,,-1,0.11775637,-0.1900304,0.10447252541780472,0.03583058342337608
19,anarchidrawing,high_maturity,False,CLIPese,0.0,True,mature,0.7293749999999999,True,orthographic_hard,6,0.0004849563,0.0064882855,0.10447252541780472,0.03583058342337608
20,cybermicroscopy,high_maturity,False,CLIPese,0.0,True,mature,0.291375,False,,-1,-0.01936702,0.25801653,0.10447252541780472,0.03583058342337608
21,bernadetransimicroscopy,high_maturity,False,CLIPese,0.0,True,mature,0.39724999999999994,False,,-1,0.19782026,0.22145057,0.10447252541780472,0.03583058342337608
22,anarchidrawings,high_maturity,False,CLIPese,0.0,True,mature,0.5539499999999999,True,orthographic_hard,7,0.09368628,-0.019753505,0.10447252541780472,0.03583058342337608
23,cartoonfortniteemojis,high_maturity,False,CLIPese,0.0,True,mature,0.39827499999999993,False,,-1,0.19510351,0.088489205,0.10447252541780472,0.03583058342337608
24,chihuahua,high_maturity,True,English,3.21,True,mature,0.369475,False,,-1,0.11814997,-0.23741439,0.10447252541780472,0.03583058342337608
25,abaschihuahua,high_maturity,False,CLIPese,0.0,True,mature,0.627275,False,,-1,0.28617072,-0.21410468,0.10447252541780472,0.03583058342337608
26,augmentejaws,high_maturity,False,CLIPese,0.0,True,mature,0.3913,False,,-1,0.15922849,0.025128309,0.10447252541780472,0.03583058342337608
27,cubecube,high_maturity,False,CLIPese,0.0,True,mature,0.550625,False,,-1,-0.053480387,0.09472951,0.10447252541780472,0.03583058342337608
28,accentmicroscopy,high_maturity,False,CLIPese,0.0,True,mature,0.347375,False,,-1,0.049195528,0.18879901,0.10447252541780472,0.03583058342337608
29,backstreetspaghetti,high_maturity,False,CLIPese,0.0,True,mature,0.5650499999999999,False,,-1,0.04687115,-0.024709592,0.10447252541780472,0.03583058342337608
30,clintonhallucinpixelart,high_maturity,False,CLIPese,0.0,True,mature,0.1217,False,,-1,0.19410433,0.2609543,0.10447252541780472,0.03583058342337608
31,cytoscrambled,high_maturity,False,CLIPese,0.0,True,mature,0.64025,False,,-1,0.2312326,0.24170105,0.10447252541780472,0.03583058342337608
32,daimscrambled,high_maturity,False,CLIPese,0.0,True,mature,0.7094250000000001,False,,-1,0.16022685,0.2966777,0.10447252541780472,0.03583058342337608
33,catpixelart,high_maturity,False,CLIPese,0.0,True,mature,0.11347499999999999,False,,-1,0.11328769,0.15471481,0.10447252541780472,0.03583058342337608
34,chipmunfracking,high_maturity,False,CLIPese,0.0,True,mature,0.183825,False,,-1,0.1256455,-0.26339632,0.10447252541780472,0.03583058342337608
35,augmenteshark,high_maturity,False,CLIPese,0.0,True,mature,0.533525,False,,-1,0.2232504,0.016597927,0.10447252541780472,0.03583058342337608
36,chipmunnursing,high_maturity,False,CLIPese,0.0,True,mature,0.16620000000000001,False,,-1,0.33962533,-0.29022795,0.10447252541780472,0.03583058342337608
37,anarchialvin,high_maturity,False,CLIPese,0.0,True,mature,0.616825,False,,-1,0.11906618,-0.1568734,0.10447252541780472,0.03583058342337608
38,choriliquimicroscopy,high_maturity,False,CLIPese,0.0,True,mature,0.23345000000000002,False,,-1,0.168269,0.16410787,0.10447252541780472,0.03583058342337608
39,bananbananheadphone,high_maturity,False,CLIPese,0.0,True,mature,0.64635,False,,-1,0.009550142,-0.12026989,0.10447252541780472,0.03583058342337608
40,calibrhumidivolcano,high_maturity,False,CLIPese,0.0,True,mature,0.34359999999999996,False,,-1,0.2381326,-0.10759595,0.10447252541780472,0.03583058342337608
41,chihuahucolorized,high_maturity,False,CLIPese,0.0,True,mature,0.348475,False,,-1,0.35022938,-0.05268243,0.10447252541780472,0.03583058342337608
42,chipmunchipmunstraw,high_maturity,False,CLIPese,0.0,True,mature,0.035824999999999996,True,mature_weak,385,0.11133941,-0.28281602,0.10447252541780472,0.03583058342337608
43,containemoji,high_maturity,False,CLIPese,0.0,True,mature,0.333,False,,-1,0.19685574,0.08356223,0.10447252541780472,0.03583058342337608
44,anarchidoodles,high_maturity,False,CLIPese,0.0,True,mature,0.9022000000000001,False,,-1,0.0376324,-0.015297262,0.10447252541780472,0.03583058342337608
45,brainmicroscopy,high_maturity,False,CLIPese,0.0,True,mature,0.30505,False,,-1,0.008781168,0.22029357,0.10447252541780472,0.03583058342337608
46,catalypixelart,high_maturity,False,CLIPese,0.0,True,mature,0.1604,False,,-1,0.06431073,0.26088172,0.10447252541780472,0.03583058342337608
47,cubeproposing,high_maturity,False,CLIPese,0.0,True,mature,0.8755000000000002,True,mature_readable,95,0.02477813,0.049729656,0.10447252541780472,0.03583058342337608
48,counterfemicroscopy,high_maturity,False,CLIPese,0.0,True,mature,0.34255,False,,-1,0.008726638,0.20872176,0.10447252541780472,0.03583058342337608
49,crystfracpixelart,high_maturity,False,CLIPese,0.0,True,mature,0.071325,True,mature_weak,420,0.21020275,0.41730633,0.10447252541780472,0.03583058342337608
50,copernicpanoramic,high_maturity,False,CLIPese,0.0,True,mature,0.21165,False,,-1,0.13327475,0.051157195,0.10447252541780472,0.03583058342337608
51,autuscrambled,high_maturity,False,CLIPese,0.0,True,mature,0.7933749999999999,False,,-1,0.15201356,0.17179777,0.10447252541780472,0.03583058342337608
52,banandeeplearning,high_maturity,False,CLIPese,0.0,True,mature,0.36867500000000003,False,,-1,0.14417939,-0.024901653,0.10447252541780472,0.03583058342337608
53,adjaccube,high_maturity,False,CLIPese,0.0,True,mature,0.5077750000000001,False,,-1,0.067509316,0.11540873,0.10447252541780472,0.03583058342337608
54,autismabear,high_maturity,False,CLIPese,0.0,True,mature,0.6863999999999999,False,,-1,0.13734362,-0.07041239,0.10447252541780472,0.03583058342337608
55,augmentedisneyland,high_maturity,False,CLIPese,0.0,True,mature,0.64475,False,,-1,0.1896948,0.10291431,0.10447252541780472,0.03583058342337608
56,chipmunreferendum,high_maturity,False,CLIPese,0.0,True,mature,0.629,False,,-1,0.14437906,-0.24581154,0.10447252541780472,0.03583058342337608
57,beachbhafc,high_maturity,False,CLIPese,0.0,True,mature,0.7847,False,,-1,0.19123302,-0.11396082,0.10447252541780472,0.03583058342337608
58,backstreetpanorama,high_maturity,False,CLIPese,0.0,True,mature,0.33965,False,,-1,0.088716015,0.0010474817,0.10447252541780472,0.03583058342337608
59,calibrhumidiadapter,high_maturity,False,CLIPese,0.0,True,mature,0.48485,False,,-1,0.13594633,-0.027995232,0.10447252541780472,0.03583058342337608
60,cougarcougar,high_maturity,False,CLIPese,0.0,True,mature,0.41762499999999997,False,,-1,0.25740418,-0.23631993,0.10447252541780472,0.03583058342337608
61,coralmicroscope,high_maturity,False,CLIPese,0.0,True,mature,0.30610000000000004,False,,-1,0.07511448,0.13295957,0.10447252541780472,0.03583058342337608
62,castellpixelart,high_maturity,False,CLIPese,0.0,True,mature,0.14547500000000002,False,,-1,-0.034444857,0.2590325,0.10447252541780472,0.03583058342337608
63,allanpixelart,high_maturity,False,CLIPese,0.0,True,mature,0.09507500000000002,False,,-1,0.058465786,0.21818836,0.10447252541780472,0.03583058342337608
64,chocoljoachim,high_maturity,False,CLIPese,0.0,True,mature,0.501775,False,,-1,0.07722965,-0.1211091,0.10447252541780472,0.03583058342337608
65,autuglitch,high_maturity,False,CLIPese,0.0,True,mature,0.580375,False,,-1,0.177774,0.3978924,0.10447252541780472,0.03583058342337608
66,barbescrambled,high_maturity,False,CLIPese,0.0,True,mature,0.683225,False,,-1,0.00045986034,0.0031981396,0.10447252541780472,0.03583058342337608
67,chipmunpbr,high_maturity,False,CLIPese,0.0,True,mature,0.313425,False,,-1,0.16033679,-0.2761918,0.10447252541780472,0.03583058342337608
68,cyberpixelart,high_maturity,False,CLIPese,0.0,True,mature,0.10195000000000001,False,,-1,0.054901417,0.30310556,0.10447252541780472,0.03583058342337608
69,cybermicroscope,high_maturity,False,CLIPese,0.0,True,mature,0.5769500000000001,False,,-1,0.13037726,0.1577513,0.10447252541780472,0.03583058342337608
70,bogtexture,high_maturity,False,CLIPese,0.0,True,mature,0.5715250000000001,False,,-1,-0.12096843,0.19000195,0.10447252541780472,0.03583058342337608
71,camouflaunvebeds,high_maturity,False,CLIPese,0.0,True,mature,0.45285000000000003,False,,-1,-0.0060866144,0.08732303,0.10447252541780472,0.03583058342337608
72,augmentemackerel,high_maturity,False,CLIPese,0.0,True,mature,0.48345,False,,-1,0.12968516,-0.08100417,0.10447252541780472,0.03583058342337608
73,bananeggplant,high_maturity,False,CLIPese,0.0,True,mature,0.52855,False,,-1,-0.037907436,-0.19096038,0.10447252541780472,0.03583058342337608
74,blacchihuahueyedubois,high_maturity,False,CLIPese,0.0,True,mature,0.20675,False,,-1,0.35108912,-0.16028,0.10447252541780472,0.03583058342337608
75,anarchialtar,high_maturity,False,CLIPese,0.0,True,mature,0.7786250000000001,False,,-1,0.04278941,-0.006758018,0.10447252541780472,0.03583058342337608
76,beachdeforestation,high_maturity,False,CLIPese,0.0,True,mature,0.25049999999999994,False,,-1,0.2445446,-0.13114236,0.10447252541780472,0.03583058342337608
77,contentmicroscopy,high_maturity,False,CLIPese,0.0,True,mature,0.3742,False,,-1,-0.27772385,0.1520452,0.10447252541780472,0.03583058342337608
78,convicemoji,high_maturity,False,CLIPese,0.0,True,mature,0.42015,False,,-1,0.18714675,0.11141301,0.10447252541780472,0.03583058342337608
79,chipmunrabbit,high_maturity,False,CLIPese,0.0,True,mature,0.33482499999999993,False,,-1,0.0046771173,-0.3082089,0.10447252541780472,0.03583058342337608
80,ayanmicroscope,high_maturity,False,CLIPese,0.0,True,mature,0.5851,False,,-1,0.16142145,0.05991293,0.10447252541780472,0.03583058342337608
81,alphabeapple,high_maturity,False,CLIPese,0.0,True,mature,0.6282249999999999,False,,-1,0.08592573,-0.11998785,0.10447252541780472,0.03583058342337608
82,aubergchunks,high_maturity,False,CLIPese,0.0,True,mature,0.42205000000000004,False,,-1,0.15055403,-0.14701192,0.10447252541780472,0.03583058342337608
