image,image_duration,label,n_workers,n_responses,n_correct,correct_rate,n_wrong,wrong_rate
0010c289bf9e42d.png,17,digital watch,7,7,2,0.2857142857142857,5,0.7142857142857143
0010c289bf9e42d.png,50,digital watch,7,7,4,0.5714285714285714,3,0.4285714285714286
0010c289bf9e42d.png,100,digital watch,7,7,6,0.8571428571428571,1,0.1428571428571429
0010c289bf9e42d.png,150,digital watch,7,7,6,0.8571428571428571,1,0.1428571428571429
0010c289bf9e42d.png,250,digital watch,7,7,7,1.0,0,0.0
0010c289bf9e42d.png,10000,digital watch,7,7,7,1.0,0,0.0
002609e58d0d4fc.png,17,waste container,7,7,1,0.14285714285714285,6,0.8571428571428572
002609e58d0d4fc.png,50,waste container,7,7,1,0.14285714285714285,6,0.8571428571428572
002609e58d0d4fc.png,100,waste container,7,7,0,0.0,7,1.0
002609e58d0d4fc.png,150,waste container,7,7,1,0.14285714285714285,6,0.8571428571428572
002609e58d0d4fc.png,250,waste container,7,7,1,0.14285714285714285,6,0.8571428571428572
002609e58d0d4fc.png,10000,waste container,7,7,4,0.5714285714285714,3,0.4285714285714286
00299e85c2d84e5.png,17,teddy bear,7,7,3,0.42857142857142855,4,0.5714285714285714
00299e85c2d84e5.png,50,teddy bear,7,7,6,0.8571428571428571,1,0.1428571428571429
00299e85c2d84e5.png,100,teddy bear,7,7,5,0.7142857142857143,2,0.2857142857142857
00299e85c2d84e5.png,150,teddy bear,7,7,6,0.8571428571428571,1,0.1428571428571429
00299e85c2d84e5.png,250,teddy bear,7,7,7,1.0,0,0.0
00299e85c2d84e5.png,10000,teddy bear,7,7,7,1.0,0,0.0
0085cb5f8066444.png,17,dumbbell,7,7,0,0.0,7,1.0
0085cb5f8066444.png,50,dumbbell,7,7,0,0.0,7,1.0
0085cb5f8066444.png,100,dumbbell,7,7,0,0.0,7,1.0
0085cb5f8066444.png,150,dumbbell,7,7,0,0.0,7,1.0
0085cb5f8066444.png,250,dumbbell,7,7,0,0.0,7,1.0
0085cb5f8066444.png,10000,dumbbell,7,7,4,0.5714285714285714,3,0.4285714285714286
008cb298308947b.png,17,whistle,7,7,0,0.0,7,1.0
008cb298308947b.png,50,whistle,7,7,0,0.0,7,1.0
008cb298308947b.png,100,whistle,7,7,1,0.14285714285714285,6,0.8571428571428572
008cb298308947b.png,150,whistle,7,7,0,0.0,7,1.0
008cb298308947b.png,250,whistle,7,7,0,0.0,7,1.0
008cb298308947b.png,10000,whistle,7,7,4,0.5714285714285714,3,0.4285714285714286
008dec84a8ec428.png,17,Band-Aid,7,7,2,0.2857142857142857,5,0.7142857142857143
008dec84a8ec428.png,50,Band-Aid,7,7,2,0.2857142857142857,5,0.7142857142857143
008dec84a8ec428.png,100,Band-Aid,7,7,2,0.2857142857142857,5,0.7142857142857143
008dec84a8ec428.png,150,Band-Aid,7,7,3,0.42857142857142855,4,0.5714285714285714
008dec84a8ec428.png,250,Band-Aid,7,7,2,0.2857142857142857,5,0.7142857142857143
008dec84a8ec428.png,10000,Band-Aid,7,7,7,1.0,0,0.0
00c659a23ed94a9.png,17,shovel,7,7,0,0.0,7,1.0
00c659a23ed94a9.png,50,shovel,7,7,0,0.0,7,1.0
00c659a23ed94a9.png,100,shovel,7,7,1,0.14285714285714285,6,0.8571428571428572
00c659a23ed94a9.png,150,shovel,7,7,3,0.42857142857142855,4,0.5714285714285714
00c659a23ed94a9.png,250,shovel,7,7,2,0.2857142857142857,5,0.7142857142857143
00c659a23ed94a9.png,10000,shovel,7,7,5,0.7142857142857143,2,0.2857142857142857
00f1a3cbe85542d.png,17,television,7,7,2,0.2857142857142857,5,0.7142857142857143
00f1a3cbe85542d.png,50,television,7,7,6,0.8571428571428571,1,0.1428571428571429
00f1a3cbe85542d.png,100,television,7,7,6,0.8571428571428571,1,0.1428571428571429
00f1a3cbe85542d.png,150,television,7,7,4,0.5714285714285714,3,0.4285714285714286
00f1a3cbe85542d.png,250,television,7,7,6,0.8571428571428571,1,0.1428571428571429
00f1a3cbe85542d.png,10000,television,7,7,7,1.0,0,0.0
00f2edaae30d438.png,17,coffee mug,7,7,1,0.14285714285714285,6,0.8571428571428572
00f2edaae30d438.png,50,coffee mug,7,7,1,0.14285714285714285,6,0.8571428571428572
00f2edaae30d438.png,100,coffee mug,7,7,3,0.42857142857142855,4,0.5714285714285714
00f2edaae30d438.png,150,coffee mug,7,7,1,0.14285714285714285,6,0.8571428571428572
00f2edaae30d438.png,250,coffee mug,7,7,3,0.42857142857142855,4,0.5714285714285714
00f2edaae30d438.png,10000,coffee mug,7,7,7,1.0,0,0.0
00fc734799f74db.png,17,match,7,7,2,0.2857142857142857,5,0.7142857142857143
00fc734799f74db.png,50,match,7,7,4,0.5714285714285714,3,0.4285714285714286
00fc734799f74db.png,100,match,7,7,3,0.42857142857142855,4,0.5714285714285714
00fc734799f74db.png,150,match,7,7,6,0.8571428571428571,1,0.1428571428571429
00fc734799f74db.png,250,match,7,7,4,0.5714285714285714,3,0.4285714285714286
00fc734799f74db.png,10000,match,7,7,5,0.7142857142857143,2,0.2857142857142857
012de1ecbcaa4ba.png,17,waste container,7,7,1,0.14285714285714285,6,0.8571428571428572
012de1ecbcaa4ba.png,50,waste container,7,7,2,0.2857142857142857,5,0.7142857142857143
012de1ecbcaa4ba.png,100,waste container,7,7,5,0.7142857142857143,2,0.2857142857142857
