source,root,rel_path,path,selection_hash,visual_hash,split,stim_id
coco,F:\AI_DATASET\COCO\val2014,COCO_val2014_000000383527.jpg,F:\AI_DATASET\COCO\val2014\COCO_val2014_000000383527.jpg,8097124925007175,1781ed2ea7591589eb931214c867dd98eefb5e6a,test,coco:001cc44acedb6547
coco,F:\AI_DATASET\COCO\val2014,COCO_val2014_000000203539.jpg,F:\AI_DATASET\COCO\val2014\COCO_val2014_000000203539.jpg,9317127290061362,2c0c8be923251276468c4f71a8ae97a6eaae8db1,test,coco:002119e0be738232
coco,F:\AI_DATASET\COCO\val2014,COCO_val2014_000000232489.jpg,F:\AI_DATASET\COCO\val2014\COCO_val2014_000000232489.jpg,11060174184910291,e65ff0c4890c5152f64fd9bd384d5f7b98599ffe,test,coco:00274b2b79720dd3
coco,F:\AI_DATASET\COCO\val2014,COCO_val2014_000000531167.jpg,F:\AI_DATASET\COCO\val2014\COCO_val2014_000000531167.jpg,12484823594065755,8787c9193cd97e3f4dab0ac5d54d0f7851e6dbae,test,coco:002c5ae183685f5b
coco,F:\AI_DATASET\COCO\val2014,COCO_val2014_000000145742.jpg,F:\AI_DATASET\COCO\val2014\COCO_val2014_000000145742.jpg,13484665662894376,c65c78a7eac8c503361b964ec984641d403c0d9d,test,coco:002fe83b62c07128
coco,F:\AI_DATASET\COCO\val2014,COCO_val2014_000000091779.jpg,F:\AI_DATASET\COCO\val2014\COCO_val2014_000000091779.jpg,14353266099468090,d8ce9c3f7af91c10195ef49a8575fa4c7e946fe1,test,coco:0032fe382f39b73a
coco,F:\AI_DATASET\COCO\val2014,COCO_val2014_000000052020.jpg,F:\AI_DATASET\COCO\val2014\COCO_val2014_000000052020.jpg,22012792926258651,30e584cdf6bd5b8ef88b13b1b37ad6e914c22651,test,coco:004e3484bee245db
coco,F:\AI_DATASET\COCO\val2014,COCO_val2014_000000031240.jpg,F:\AI_DATASET\COCO\val2014\COCO_val2014_000000031240.jpg,24562101943370601,82c7a8075980f0b6784a0ecfc382f5554f3535a1,test,coco:0057431a01458369
coco,F:\AI_DATASET\COCO\val2014,COCO_val2014_000000474410.jpg,F:\AI_DATASET\COCO\val2014\COCO_val2014_000000474410.jpg,30704379193968118,1893ee7ede17e7a5974523e065d1cca253486afc,test,coco:006d15785ee7c5f6
coco,F:\AI_DATASET\COCO\val2014,COCO_val2014_000000167193.jpg,F:\AI_DATASET\COCO\val2014\COCO_val2014_000000167193.jpg,44420194412812608,18e8349607c1ae53f32ec78231a199e258897b4f,test,coco:009dcfee74d45940
coco,F:\AI_DATASET\COCO\val2014,COCO_val2014_000000190140.jpg,F:\AI_DATASET\COCO\val2014\COCO_val2014_000000190140.jpg,44437795039284007,fbad711325c509fc625c624da6b8d365a2131493,test,coco:009ddff06beb0b27
coco,F:\AI_DATASET\COCO\val2014,COCO_val2014_000000448236.jpg,F:\AI_DATASET\COCO\val2014\COCO_val2014_000000448236.jpg,46276624502232377,87826f741320d4de6018fef3e3d60a6a684dcffa,test,coco:00a4685844dc1539
coco,F:\AI_DATASET\COCO\val2014,COCO_val2014_000000306099.jpg,F:\AI_DATASET\COCO\val2014\COCO_val2014_000000306099.jpg,47847387677895303,79ba7dda39f5db19de7aebbf88b8e6769fb91f5c,test,coco:00a9fcf211f8aa87
coco,F:\AI_DATASET\COCO\val2014,COCO_val2014_000000024061.jpg,F:\AI_DATASET\COCO\val2014\COCO_val2014_000000024061.jpg,48093371954471149,9da570595e728f21c848110878016a557c2d6c2f,test,coco:00aadcaabf65a0ed
coco,F:\AI_DATASET\COCO\val2014,COCO_val2014_000000426297.jpg,F:\AI_DATASET\COCO\val2014\COCO_val2014_000000426297.jpg,48197109518528099,e55bcd25d4ccd9b4756f2855c66fcc5c359f25f8,test,coco:00ab3b04080d6e63
coco,F:\AI_DATASET\COCO\val2014,COCO_val2014_000000031634.jpg,F:\AI_DATASET\COCO\val2014\COCO_val2014_000000031634.jpg,49879850455983028,67972fe98786c6c7c3f597155463e12c64f69b7b,test,coco:00b13575afe0e3b4
coco,F:\AI_DATASET\COCO\val2014,COCO_val2014_000000507951.jpg,F:\AI_DATASET\COCO\val2014\COCO_val2014_000000507951.jpg,62911709298195771,401c95df7f7194406d4481cb0ae435c5e1a35c99,test,coco:00df81ddc4ee7d3b
coco,F:\AI_DATASET\COCO\val2014,COCO_val2014_000000200284.jpg,F:\AI_DATASET\COCO\val2014\COCO_val2014_000000200284.jpg,64284983561784818,84a1bc9a67226ddae8c201383aa82b7d9b89156f,test,coco:00e462da19978df2
coco,F:\AI_DATASET\COCO\val2014,COCO_val2014_000000252219.jpg,F:\AI_DATASET\COCO\val2014\COCO_val2014_000000252219.jpg,67447279988642691,d2865a38539e8bacafdce4c319106191f28c32d4,test,coco:00ef9ef19cca1383
coco,F:\AI_DATASET\COCO\val2014,COCO_val2014_000000041271.jpg,F:\AI_DATASET\COCO\val2014\COCO_val2014_000000041271.jpg,68943591174536733,d38936fd28e24b463662315275c7ac1870f3fded,test,coco:00f4efd4b57f7e1d
coco,F:\AI_DATASET\COCO\val2014,COCO_val2014_000000366104.jpg,F:\AI_DATASET\COCO\val2014\COCO_val2014_000000366104.jpg,70300134430463103,5be7390da65b17765a5b92b4f5a95ca144913725,test,coco:00f9c1998c63d47f
coco,F:\AI_DATASET\COCO\val2014,COCO_val2014_000000045367.jpg,F:\AI_DATASET\COCO\val2014\COCO_val2014_000000045367.jpg,72706471663426042,544daf2dcd45c3d29d5aa3e91af67545f122f751,test,coco:01024e26985ed9fa
coco,F:\AI_DATASET\COCO\val2014,COCO_val2014_000000349098.jpg,F:\AI_DATASET\COCO\val2014\COCO_val2014_000000349098.jpg,75271340266331370,ea932346ef382a0aca458d2c7abd4c4059ac460d,test,coco:010b6ae29a579cea
coco,F:\AI_DATASET\COCO\val2014,COCO_val2014_000000087890.jpg,F:\AI_DATASET\COCO\val2014\COCO_val2014_000000087890.jpg,79884761413973388,e051478a5c8e44638ae39f5d3642e5dee49eba7d,test,coco:011bcec46b0bf58c
coco,F:\AI_DATASET\COCO\val2014,COCO_val2014_000000230166.jpg,F:\AI_DATASET\COCO\val2014\COCO_val2014_000000230166.jpg,80344994238899710,57f77f8f22f78067a1bacfe511aff77719246e29,test,coco:011d7158b91725fe
coco,F:\AI_DATASET\COCO\val2014,COCO_val2014_000000202321.jpg,F:\AI_DATASET\COCO\val2014\COCO_val2014_000000202321.jpg,81131452536397095,ba6f64a32b66817c0c3b629d563172f67085cbde,test,coco:01203ca0508b1d27
coco,F:\AI_DATASET\COCO\val2014,COCO_val2014_000000077548.jpg,F:\AI_DATASET\COCO\val2014\COCO_val2014_000000077548.jpg,82799429853106818,13900b383aa443db27ed5c68c7780d6fad2abbfd,test,coco:012629a48bffd282
coco,F:\AI_DATASET\COCO\val2014,COCO_val2014_000000374043.jpg,F:\AI_DATASET\COCO\val2014\COCO_val2014_000000374043.jpg,83559267920401680,dfe932a059538aaa4f5f278e9e9d0b20091a29f5,test,coco:0128dcb622165510
coco,F:\AI_DATASET\COCO\val2014,COCO_val2014_000000404613.jpg,F:\AI_DATASET\COCO\val2014\COCO_val2014_000000404613.jpg,90175236706344091,ce807de3dab3fcc7ed225c4d9fd09abb08c3284b,test,coco:01405de6676b1c9b
coco,F:\AI_DATASET\COCO\val2014,COCO_val2014_000000417430.jpg,F:\AI_DATASET\COCO\val2014\COCO_val2014_000000417430.jpg,91848126332980119,9f9c125b59eb77048043945b7279f0e1f38a206f,test,coco:01464f625f5ccb97
coco,F:\AI_DATASET\COCO\val2014,COCO_val2014_000000373382.jpg,F:\AI_DATASET\COCO\val2014\COCO_val2014_000000373382.jpg,91978223980770018,402f44848134784838ac13d40149471dfa713647,test,coco:0146c5b51771f2e2
coco,F:\AI_DATASET\COCO\val2014,COCO_val2014_000000019306.jpg,F:\AI_DATASET\COCO\val2014\COCO_val2014_000000019306.jpg,92106615879503835,a215f8b0feaf3bcb9cf55adbcd1d618d3005e302,test,coco:01473a7aa8f60fdb
coco,F:\AI_DATASET\COCO\val2014,COCO_val2014_000000493161.jpg,F:\AI_DATASET\COCO\val2014\COCO_val2014_000000493161.jpg,94142828098673524,57f0b8f01ff42439049c354486e2579902640456,test,coco:014e766742f8db74
coco,F:\AI_DATASET\COCO\val2014,COCO_val2014_000000438774.jpg,F:\AI_DATASET\COCO\val2014\COCO_val2014_000000438774.jpg,94289251460955289,4a919ba729ebe00c5c26a35713432c672ccd6971,test,coco:014efb931b77bc99
coco,F:\AI_DATASET\COCO\val2014,COCO_val2014_000000243442.jpg,F:\AI_DATASET\COCO\val2014\COCO_val2014_000000243442.jpg,97758974261629842,803d771481a8b974476b03fc815937f6b517c2e3,test,coco:015b4f44e6789392
coco,F:\AI_DATASET\COCO\val2014,COCO_val2014_000000311510.jpg,F:\AI_DATASET\COCO\val2014\COCO_val2014_000000311510.jpg,98138672327960039,2698cf7c40f592ba9913e30042972c8e8f21ba51,test,coco:015ca89a3ed625e7
coco,F:\AI_DATASET\COCO\val2014,COCO_val2014_000000328409.jpg,F:\AI_DATASET\COCO\val2014\COCO_val2014_000000328409.jpg,99333873717730815,3ee0a2dff14acec9465b38e7b3df1e924e977f06,test,coco:0160e7a1c11bddff
coco,F:\AI_DATASET\COCO\val2014,COCO_val2014_000000418699.jpg,F:\AI_DATASET\COCO\val2014\COCO_val2014_000000418699.jpg,99573666874738439,27c598c0b8d0f24172d95eeedcfb507f38993512,test,coco:0161c1b8f30d4707
coco,F:\AI_DATASET\COCO\val2014,COCO_val2014_000000435391.jpg,F:\AI_DATASET\COCO\val2014\COCO_val2014_000000435391.jpg,106627675056517886,5c63aa71bd105ddc031b98e0ee3404920c75ca2d,test,coco:017ad14e36f832fe
coco,F:\AI_DATASET\COCO\val2014,COCO_val2014_000000054091.jpg,F:\AI_DATASET\COCO\val2014\COCO_val2014_000000054091.jpg,107723415110488446,7933530997f0c9e128926b89035a9d3573abf5e2,test,coco:017eb5e013a7117e
coco,F:\AI_DATASET\COCO\val2014,COCO_val2014_000000451473.jpg,F:\AI_DATASET\COCO\val2014\COCO_val2014_000000451473.jpg,110541960679292338,3d8cf927b531c7dfa7fe36808ac16f02835d6105,test,coco:0188b953db107db2
coco,F:\AI_DATASET\COCO\val2014,COCO_val2014_000000471154.jpg,F:\AI_DATASET\COCO\val2014\COCO_val2014_000000471154.jpg,114145720325084433,7beb3879ab0f8ea3048a6904d9e78ea310b90d3f,test,coco:019586ed889b9511
coco,F:\AI_DATASET\COCO\val2014,COCO_val2014_000000554934.jpg,F:\AI_DATASET\COCO\val2014\COCO_val2014_000000554934.jpg,115328404754235324,a98c82009c24f2ab25fee1d3156f980bfd74bdd8,test,coco:0199ba92b5e37fbc
coco,F:\AI_DATASET\COCO\val2014,COCO_val2014_000000381416.jpg,F:\AI_DATASET\COCO\val2014\COCO_val2014_000000381416.jpg,119220556884673499,12782daf529a73be0c890d8b03551b256bd5694c,test,coco:01a78e76ff0903db
coco,F:\AI_DATASET\COCO\val2014,COCO_val2014_000000032056.jpg,F:\AI_DATASET\COCO\val2014\COCO_val2014_000000032056.jpg,120965741316308192,fd2b468228bb0fe54aa044b469a36a8392af32dd,test,coco:01adc1b369267ce0
coco,F:\AI_DATASET\COCO\val2014,COCO_val2014_000000132084.jpg,F:\AI_DATASET\COCO\val2014\COCO_val2014_000000132084.jpg,129732713845297164,10d9836298ef5c23ebcc6d2bb42e1548c75cc2dd,test,coco:01cce737447f100c
coco,F:\AI_DATASET\COCO\val2014,COCO_val2014_000000565034.jpg,F:\AI_DATASET\COCO\val2014\COCO_val2014_000000565034.jpg,132491112485726202,989fb3760e129f8bcb809b9c388c1ed2238d93e2,test,coco:01d6b3f6ff9ba7fa
coco,F:\AI_DATASET\COCO\val2014,COCO_val2014_000000066635.jpg,F:\AI_DATASET\COCO\val2014\COCO_val2014_000000066635.jpg,135170417563092469,6c35494054f4fb1be744d125d6b26f467dab6ec4,test,coco:01e038c752fd45f5
coco,F:\AI_DATASET\COCO\val2014,COCO_val2014_000000084389.jpg,F:\AI_DATASET\COCO\val2014\COCO_val2014_000000084389.jpg,135176443481892263,39413b3153c4c1e5c745cf0ff77d58aac142f26e,test,coco:01e03e4257bd25a7
coco,F:\AI_DATASET\COCO\val2014,COCO_val2014_000000315722.jpg,F:\AI_DATASET\COCO\val2014\COCO_val2014_000000315722.jpg,135964685133878355,753c572714286c1a28f10fa073836a04d3c86358,test,coco:01e30b2927671453
coco,F:\AI_DATASET\COCO\val2014,COCO_val2014_000000460266.jpg,F:\AI_DATASET\COCO\val2014\COCO_val2014_000000460266.jpg,138615214618910912,4ed672933c93a324bceeefce4128775e56f38401,test,coco:01ec75cda3d320c0
coco,F:\AI_DATASET\COCO\val2014,COCO_val2014_000000260465.jpg,F:\AI_DATASET\COCO\val2014\COCO_val2014_000000260465.jpg,139737800384804789,2c15081063923db0f19b2e2cbbb9022ff1794898,test,coco:01f072ca01a177b5
coco,F:\AI_DATASET\COCO\val2014,COCO_val2014_000000444390.jpg,F:\AI_DATASET\COCO\val2014\COCO_val2014_000000444390.jpg,139955706466091873,cb094c909234697c338f3ae9f4004e08e98270ee,test,coco:01f138f938334361
coco,F:\AI_DATASET\COCO\val2014,COCO_val2014_000000034222.jpg,F:\AI_DATASET\COCO\val2014\COCO_val2014_000000034222.jpg,143275375677008867,7abe8e8d0cd9e21571b7cf4938a873ef55d41119,test,coco:01fd0431f049ebe3
coco,F:\AI_DATASET\COCO\val2014,COCO_val2014_000000443139.jpg,F:\AI_DATASET\COCO\val2014\COCO_val2014_000000443139.jpg,146468849138529191,6a5ed9dcca13368f3a58fcd0937f0c77dc858252,test,coco:02085ca46b8ff3a7
coco,F:\AI_DATASET\COCO\val2014,COCO_val2014_000000514904.jpg,F:\AI_DATASET\COCO\val2014\COCO_val2014_000000514904.jpg,149366316926267965,5fef8dfd58abfe5094cfb601da03fe58ecfb76c6,test,coco:0212a7dfb5cc723d
coco,F:\AI_DATASET\COCO\val2014,COCO_val2014_000000303305.jpg,F:\AI_DATASET\COCO\val2014\COCO_val2014_000000303305.jpg,153030499927597162,1390287fd867da2ea3719201ae8171c27009a0b3,test,coco:021fac6dcbfc206a
coco,F:\AI_DATASET\COCO\val2014,COCO_val2014_000000197130.jpg,F:\AI_DATASET\COCO\val2014\COCO_val2014_000000197130.jpg,153774907288420063,73df6e170b5301da6c978cc6de85db7e8eb9264e,test,coco:02225176a44b7edf
coco,F:\AI_DATASET\COCO\val2014,COCO_val2014_000000563951.jpg,F:\AI_DATASET\COCO\val2014\COCO_val2014_000000563951.jpg,154526423115344326,decf479c86d67785d274caaf0221887ed6567088,test,coco:0224fcf68e33a9c6
coco,F:\AI_DATASET\COCO\val2014,COCO_val2014_000000025751.jpg,F:\AI_DATASET\COCO\val2014\COCO_val2014_000000025751.jpg,154549509727194535,584fe17abaf2755ae761d13627863df7f1ead90a,test,coco:022511f5d3800da7
coco,F:\AI_DATASET\COCO\val2014,COCO_val2014_000000098143.jpg,F:\AI_DATASET\COCO\val2014\COCO_val2014_000000098143.jpg,155014581641124495,cd9261a6ec44fa18835c788a93f2b56d645f7e00,test,coco:0226b8f0d1b99a8f
coco,F:\AI_DATASET\COCO\val2014,COCO_val2014_000000182398.jpg,F:\AI_DATASET\COCO\val2014\COCO_val2014_000000182398.jpg,158922043772547966,cb20134f7ab148cd6bb5c4ffa66e1d8fc94230a2,test,coco:02349ac1be0ab37e
coco,F:\AI_DATASET\COCO\val2014,COCO_val2014_000000388643.jpg,F:\AI_DATASET\COCO\val2014\COCO_val2014_000000388643.jpg,162693762876550198,9786c35d1e3cf490cd220e712bfdd91a5bf2ac46,test,coco:0242011d876dac36
coco,F:\AI_DATASET\COCO\val2014,COCO_val2014_000000545293.jpg,F:\AI_DATASET\COCO\val2014\COCO_val2014_000000545293.jpg,166197955310810805,d2b1785a5438f594bd67eb7f694aba9515775f83,test,coco:024e7428e8b276b5
coco,F:\AI_DATASET\COCO\val2014,COCO_val2014_000000403385.jpg,F:\AI_DATASET\COCO\val2014\COCO_val2014_000000403385.jpg,171801178858388943,35573df244cb46ed88a55f6c95633b6b712e1439,test,coco:02625c430dd8fdcf
coco,F:\AI_DATASET\COCO\val2014,COCO_val2014_000000577065.jpg,F:\AI_DATASET\COCO\val2014\COCO_val2014_000000577065.jpg,176891690981355843,b526470dd71daec004a502805683095b04533c47,test,coco:0274720e44a97143
coco,F:\AI_DATASET\COCO\val2014,COCO_val2014_000000351621.jpg,F:\AI_DATASET\COCO\val2014\COCO_val2014_000000351621.jpg,177049518841010009,73de32a6d5ec9d9fe284655b2137d64e9aea6845,test,coco:027501996e2c1759
coco,F:\AI_DATASET\COCO\val2014,COCO_val2014_000000289716.jpg,F:\AI_DATASET\COCO\val2014\COCO_val2014_000000289716.jpg,178933533524192581,9e1e417d154c593b66a9e321e9ad501b8e1eb6d4,test,coco:027bb319c81d6d45
coco,F:\AI_DATASET\COCO\val2014,COCO_val2014_000000042888.jpg,F:\AI_DATASET\COCO\val2014\COCO_val2014_000000042888.jpg,182193839903455630,604777f272a801bb9df041ba6b990547df6ac83b,test,coco:0287485503b5b98e
coco,F:\AI_DATASET\COCO\val2014,COCO_val2014_000000252048.jpg,F:\AI_DATASET\COCO\val2014\COCO_val2014_000000252048.jpg,182585441016317019,7121ffe4330fb53c868916656136d6057d6138ab,test,coco:0288ac7dc0ef845b
coco,F:\AI_DATASET\COCO\val2014,COCO_val2014_000000128450.jpg,F:\AI_DATASET\COCO\val2014\COCO_val2014_000000128450.jpg,184476965624039304,6da607df17f34fcff0549ff6a1854de2f99d87f2,test,coco:028f64d2a5434788
